Name,Program,Notes,Don't show on website,No Need for Volunteers,Start,End,Site,Estimated Cost,Total Service Hours,Total Prep Hours (entered in minutes),Num Participants,Map,Program Name,Description,Pictures,Age Group,Female,Male,Summary of Event,Staffed By,Num Caucasian,Num Hispanic,Num Asian,Num African American,Num Age: k-5,Num Age: 6-8,Num Age: 9-12,Num Age: Adult,Num Other/Prefer not to say,Learn more,Needs Registration?,Registration Number,Registration Link,How to register,Address,Geocoded,Adults
Mar 18th Sat 1:00 PM to 5:00 PM Intro to Commandline,Intro to Commandline,,,,"March 18, 2017 1:00pm","March 18, 2017 5:00pm",The Iron Yard Houston,,4:00,,40,"https://maps.google.com/maps?hl=en&q=The+Iron+Yard+Houston+4203+Montrose+Blvd+#100,++Houston+TX+77006",Ready for the Future,"In this intro to Commandline workshops, participants will be given an overview of the commanline interface. Learn to navigate, access, and modify files and folders on your computer—all without a mouse! ","Screenshot.45587.1000000.jpg (https://dl.airtable.com/b6TFCyD4QTWq3o6Ez8a5_Screenshot.45587.1000000.jpg), virtual_machine.png (https://dl.airtable.com/7jq3AVidQFGib4HftG36_virtual_machine.png)",adult,,,,,,,,,,,,,,,,,, ,"4203 Montrose Blvd #100, 
Houston TX
77006",🔵 eyJpIjoiNDIwMyBNb250cm9zZSBCbHZkICMxMDAsIFxuSG91c3RvbiBUWFxuNzcwMDYiLCJvIjp7InN0YXR1cyI6Ik9LIiwiZm9ybWF0dGVkQWRkcmVzcyI6IjQyMDMgTW9udHJvc2UgQmx2ZCAjMTAwLCBIb3VzdG9uLCBUWCA3NzAwNiwgVVNBIiwibGF0IjoyOS43MzUxMTI5LCJsbmciOi05NS4zOTA1MjgwMDAwMDAwMn0sImUiOjE1MzQ1MTY0MDE5MTV9,checked
Mar 25th Sat 1:00 PM to 5:00 PM Intro to Git/Github,Intro to Git/Github,,,,"March 25, 2017 1:00pm","March 25, 2017 5:00pm",The Iron Yard Houston,,4:00,,50,"https://maps.google.com/maps?hl=en&q=The+Iron+Yard+Houston+4203+Montrose+Blvd+#100,++Houston+TX+77006",Ready for the Future,A free workshop for beginners to get hands-on experience with GitHub & Git!,Curso-gratis-de-GIT-y-GITHUB.jpg (https://dl.airtable.com/9V5cpxPyRTKSvwswgn1f_Curso-gratis-de-GIT-y-GITHUB.jpg),adult,,,,,,,,,,,,,,,,,, ,"4203 Montrose Blvd #100, 
Houston TX
77006",🔵 eyJpIjoiNDIwMyBNb250cm9zZSBCbHZkICMxMDAsIFxuSG91c3RvbiBUWFxuNzcwMDYiLCJvIjp7InN0YXR1cyI6Ik9LIiwiZm9ybWF0dGVkQWRkcmVzcyI6IjQyMDMgTW9udHJvc2UgQmx2ZCAjMTAwLCBIb3VzdG9uLCBUWCA3NzAwNiwgVVNBIiwibGF0IjoyOS43MzUxMTI5LCJsbmciOi05NS4zOTA1MjgwMDAwMDAwMn0sImUiOjE1MzQ1MTYzODY2NDJ9,checked
Apr 15th Sat 12:00 PM to 5:00 PM Intro to R ,Intro to R ,,,,"April 15, 2017 12:00pm","April 15, 2017 5:00pm",The Iron Yard Houston,,5:00,,70,"https://maps.google.com/maps?hl=en&q=The+Iron+Yard+Houston+4203+Montrose+Blvd+#100,++Houston+TX+77006",Ready for the Future,"In this introduction to R workshop, participants will learn about the basics of this beautiful open source language.With over 2 million users worldwide R is rapidly becoming the leading programming language in statistics and data science.","RStudio_Logo.png (https://dl.airtable.com/qwY1PCJ0RY6Bz02gSA4v_RStudio_Logo.png), rstudio.png (https://dl.airtable.com/ut6pKApySyKbMwZGIqv7_rstudio.png)",adult,,,,,,,,,,,,,,,,,, ,"4203 Montrose Blvd #100, 
Houston TX
77006",🔵 eyJpIjoiNDIwMyBNb250cm9zZSBCbHZkICMxMDAsIFxuSG91c3RvbiBUWFxuNzcwMDYiLCJvIjp7InN0YXR1cyI6Ik9LIiwiZm9ybWF0dGVkQWRkcmVzcyI6IjQyMDMgTW9udHJvc2UgQmx2ZCAjMTAwLCBIb3VzdG9uLCBUWCA3NzAwNiwgVVNBIiwibGF0IjoyOS43MzUxMTI5LCJsbmciOi05NS4zOTA1MjgwMDAwMDAwMn0sImUiOjE1MzQ1MTYzNTM2Mzh9,checked
Apr 22nd Sat 12:00 PM to 5:00 PM Intro to Web Scraping with R,Intro to Web Scraping with R,,,,"April 22, 2017 12:00pm","April 22, 2017 5:00pm",The Iron Yard Houston,,5:00,,60,"https://maps.google.com/maps?hl=en&q=The+Iron+Yard+Houston+4203+Montrose+Blvd+#100,++Houston+TX+77006",Ready for the Future,"In this hands-on introduction, students learn about what web scraping is, why they may want to do it, and how to do it!  ",fin-analysis.png (https://dl.airtable.com/El6tUpBzT8CjGpWSuoj2_fin-analysis.png),adult,,,,,,,,,,,,,,,,,, ,"4203 Montrose Blvd #100, 
Houston TX
77006",🔵 eyJpIjoiNDIwMyBNb250cm9zZSBCbHZkICMxMDAsIFxuSG91c3RvbiBUWFxuNzcwMDYiLCJvIjp7InN0YXR1cyI6Ik9LIiwiZm9ybWF0dGVkQWRkcmVzcyI6IjQyMDMgTW9udHJvc2UgQmx2ZCAjMTAwLCBIb3VzdG9uLCBUWCA3NzAwNiwgVVNBIiwibGF0IjoyOS43MzUxMTI5LCJsbmciOi05NS4zOTA1MjgwMDAwMDAwMn0sImUiOjE1MzQ1MTY0MTE5NjR9,checked
Jun 15th Thu 3:00 PM to 4:30 PM ASCII Art,ASCII Art,,,,"June 15, 2017 3:00pm","June 15, 2017 4:30pm",Kendall Neighborhood Library,,1:30,,10,"https://maps.google.com/maps?hl=en&q=Kendall+Neighborhood+Library+609+N+Eldridge+Pkwy,++Houston+TX+77079",Coding and the Arts,"Students will be guided through a program in Python or JavaScript that converts photos and cartoon images to ASCII art, images made purely from text. Along the way, they’ll learn a little about pixels, how computers manipulate images, and using loops to code repetitive tasks. At the end of class, students will have their ASCII art printed out to take home.",CIdWGtFWwAAlBu5.png (https://dl.airtable.com/RcgC2gLTke20hey0EkQG_CIdWGtFWwAAlBu5.png),"9th-12, 6th-8th",,,,,,,,,,,,,,,checked,(832) 393-1880,,Please call (832) 393-1880 to register,"609 N Eldridge Pkwy, 
Houston TX
77079",🔵 eyJpIjoiNjA5IE4gRWxkcmlkZ2UgUGt3eSwgXG5Ib3VzdG9uIFRYXG43NzA3OSIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiNjA5IE4gRWxkcmlkZ2UgUGt3eSwgSG91c3RvbiwgVFggNzcwNzksIFVTQSIsImxhdCI6MjkuNzczMDU1MiwibG5nIjotOTUuNjIwNTcwNjAwMDAwMDF9LCJlIjoxNTM1Mzg5NzQ5MzUzfQ==,
Jun 21st Wed 2:00 PM to 5:00 PM Intro to Python with Minecraft ,Intro to Python with Minecraft ,,,,"June 21, 2017 2:00pm","June 21, 2017 5:00pm",Houston Public Library - Central Library,,3:00,,8,"https://maps.google.com/maps?hl=en&q=Houston+Public+Library+-+Central+Library+500+McKinney,++Houston+TX+77002",Coding and the Arts,"This class is an introduction to coding for students aged 12-18 using Minecraft: Pi Edition and Python. With Coding in Minecraft, students will learn real world programming skills through guided lessons, creating their own in-game content along the way.","_J2B7299.jpg (https://dl.airtable.com/0FQB0Hi3Tyam2TNihv8C__J2B7299.jpg), Minecraft-Castle-Banner.jpg (https://dl.airtable.com/hQKFwyClT9ynQhSH9TTB_Minecraft-Castle-Banner.jpg)","9th-12, 6th-8th",,,,,,,,,,,,,,,checked,(832) 393-1313,,Please call  (832) 393-1313 to register,"500 McKinney, 
Houston TX
77002",🔵 eyJpIjoiNTAwIE1jS2lubmV5LCBcbkhvdXN0b24gVFhcbjc3MDAyIiwibyI6eyJzdGF0dXMiOiJPSyIsImZvcm1hdHRlZEFkZHJlc3MiOiI1MDAgTWNLaW5uZXkgU3QsIEhvdXN0b24sIFRYIDc3MDAyLCBVU0EiLCJsYXQiOjI5Ljc1OTQzMSwibG5nIjotOTUuMzY5OTUzMDAwMDAwMDF9LCJlIjoxNTM1Mzg5NzU3NDkzfQ==,
Jun 28th Wed 2:00 PM to 3:30 PM ASCII Art,ASCII Art,,,,"June 28, 2017 2:00pm","June 28, 2017 3:30pm",Heights Neighborhood Library,,1:30,,8,"https://maps.google.com/maps?hl=en&q=Heights+Neighborhood+Library+1302+Heights+Blvd,++Houston+TX+77008",Coding and the Arts,"Students will be guided through a program in Python or JavaScript that converts photos and cartoon images to ASCII art, images made purely from text. Along the way, they’ll learn a little about pixels, how computers manipulate images, and using loops to code repetitive tasks. At the end of class, students will have their ASCII art printed out to take home.",CIdWGtFWwAAlBu5.png (https://dl.airtable.com/RcgC2gLTke20hey0EkQG_CIdWGtFWwAAlBu5.png),"9th-12, 6th-8th",,,,,,,,,,,,,,,checked,(832) 393-1810,,Please call (832) 393-1810 to register,"1302 Heights Blvd, 
Houston TX
77008",🔵 eyJpIjoiMTMwMiBIZWlnaHRzIEJsdmQsIFxuSG91c3RvbiBUWFxuNzcwMDgiLCJvIjp7InN0YXR1cyI6Ik9LIiwiZm9ybWF0dGVkQWRkcmVzcyI6IjEzMDIgSGVpZ2h0cyBCbHZkLCBIb3VzdG9uLCBUWCA3NzAwOCwgVVNBIiwibGF0IjoyOS43OTQ2Njk4LCJsbmciOi05NS4zOTcxNDU0OTk5OTk5N30sImUiOjE1MzQ1MTYzNzkyNzh9,
Jun 29th Thu 2:00 PM to 5:00 PM Intro to Python with Minecraft ,Intro to Python with Minecraft ,,,,"June 29, 2017 2:00pm","June 29, 2017 5:00pm",Moody Neighborhood Library,,3:00,,14,"https://maps.google.com/maps?hl=en&q=Moody+Neighborhood+Library+9525+Irvington+Blvd,++Houston+TX+77076",Coding and the Arts,"This class is an introduction to coding for students aged 12-18 using Minecraft: Pi Edition and Python. With Coding in Minecraft, students will learn real world programming skills through guided lessons, creating their own in-game content along the way.","_J2B7299.jpg (https://dl.airtable.com/0FQB0Hi3Tyam2TNihv8C__J2B7299.jpg), Minecraft-Castle-Banner.jpg (https://dl.airtable.com/hQKFwyClT9ynQhSH9TTB_Minecraft-Castle-Banner.jpg)","9th-12, 6th-8th",,,,,,,,,,,,,,,checked,(832) 393-1950,,Please call (832) 393-1950 to register,"9525 Irvington Blvd, 
Houston TX
77076",🔵 eyJpIjoiOTUyNSBJcnZpbmd0b24gQmx2ZCwgXG5Ib3VzdG9uIFRYXG43NzA3NiIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiOTUyNSBJcnZpbmd0b24gQmx2ZCwgSG91c3RvbiwgVFggNzcwNzYsIFVTQSIsImxhdCI6MjkuODQ3NTUwOCwibG5nIjotOTUuMzYyODQzNX0sImUiOjE1MzQ1MTYzODA1MDZ9,
Oct 7th Sat 1:30 PM to 4:00 PM Intro to Python with Minecraft ,Intro to Python with Minecraft ,,,,"October 7, 2017 1:30pm","October 7, 2017 4:00pm",Houston Community College - West Loop Center,,2:30,,20,"https://maps.google.com/maps?hl=en&q=Houston+Community+College+-+West+Loop+Center+5601+West+Loop+S,++Houston+TX+77081",Coding and the Arts,"This class is an introduction to coding for students aged 12-18 using Minecraft: Pi Edition and Python. With Coding in Minecraft, students will learn real world programming skills through guided lessons, creating their own in-game content along the way.","_J2B7299.jpg (https://dl.airtable.com/0FQB0Hi3Tyam2TNihv8C__J2B7299.jpg), Minecraft-Castle-Banner.jpg (https://dl.airtable.com/hQKFwyClT9ynQhSH9TTB_Minecraft-Castle-Banner.jpg)","9th-12, 6th-8th",,,,,,,,,,,,,,,,,, ,"5601 West Loop S, 
Houston TX
77081",🔵 eyJpIjoiNTYwMSBXZXN0IExvb3AgUywgXG5Ib3VzdG9uIFRYXG43NzA4MSIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiNTYwMSBXZXN0IExvb3AgUywgSG91c3RvbiwgVFggNzcwODEsIFVTQSIsImxhdCI6MjkuNzIxMzU0OCwibG5nIjotOTUuNDU3NDEyMjAwMDAwMDJ9LCJlIjoxNTM1Mzg5NzQyNTQwfQ==,
Oct 21st Sat 11:30 AM to 1:00 PM Squishy Circuits,Squishy Circuits,,,,"October 21, 2017 11:30am","October 21, 2017 1:00pm",Houston Mini Maker Faire @ George R. Brown Convention Center,,1:30,,8,"https://maps.google.com/maps?hl=en&q=Houston+Mini+Maker+Faire+@+George+R.+Brown+Convention+Center+1001+Avenida+De+Las+Americas,++Houston+TX+77010",The Ripple Effect,"Participant use conductive and insulating play dough to learn the basics of electrical circuits in a fun, hands-on way. They will also be able to take home their creations and recipe to make their own electric dough to continue their inventions.","squishy circuits 4.jpg (https://dl.airtable.com/h9jfdgrDRHWnLbfl5caW_squishy%20circuits%204.jpg), 7bcf6e96ca749ad8c3ccda6502b3f28e_original.jpg (https://dl.airtable.com/emlyQO51S56nubYWraCd_7bcf6e96ca749ad8c3ccda6502b3f28e_original.jpg)","k-5th, 6th-8th, 9th-12",,,,,,,,,,,,,,,,,, ,"1001 Avenida De Las Americas, 
Houston TX
77010",🔵 eyJpIjoiMTAwMSBBdmVuaWRhIERlIExhcyBBbWVyaWNhcywgXG5Ib3VzdG9uIFRYXG43NzAxMCIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiMTAwMSBBdmVuaWRhIERlIExhcyBBbWVyaWNhcywgSG91c3RvbiwgVFggNzcwMTAsIFVTQSIsImxhdCI6MjkuNzUyNDgwOSwibG5nIjotOTUuMzU3ODkyM30sImUiOjE1MzQ1MTYzNjE1MDR9,
